ROI NUM	ROI LABEL	FULL LABEL (*vestibular, **expanded/multimodal vestibular)
1	[BN] A8m L	L medial  area 8
2	[BN] A8m R	R medial  area 8
3	[BN] A8dl L	L dorsolateral  area 8
4	[BN] A8dl R	R dorsolateral  area 8
5	[BN] A9l L	L lateral prefrontal  area 9
6	[BN] A9l R	R lateral prefrontal  area 9
7	[BN] A6dl L	L dorsolateral  area 6/premotor cortex
8	[BN] A6dl R	R dorsolateral  area 6/premotor cortex
9	[BN] A6m L	L medial  area 6
10	[BN] A6m R	R medial  area 6
11	[BN] A9m L	L medial  area 9
12	[BN] A9m R	R medial  area 9
13	[BN] A10m L	L medial  area 10
14	[BN] A10m R	R medial  area 10
15	[BN] A9/46d L	L prefrontal  area 9/dorsal 46
16	[BN] A9/46d R	R prefrontal  area 9/dorsal 46
17	[BN] IFJ L	L inferior frontal junction
18	[BN] IFJ R	R inferior frontal junction
19	[BN] A46 L	L prefrontal  area 46
20	[BN] A46 R	R prefrontal  area 46
21	[BN] A9/46v L	L prefrontal  area 9/ventral 46
22	[BN] A9/46v R	R prefrontal  area 9/ventral 46
23	[BN] A8vl L	L ventrolateral middle frontal area 8
24	[BN] A8vl R	R ventrolateral middle frontal area 8
25	[BN] A6vl L	L ventrolateral middle frontal area 6
26	[BN] A6vl R	R ventrolateral middle frontal area 6
27	[BN] A10l L	L lateral middle frontal area 10
28	[BN] A10l R	R lateral middle frontal area 10
29	[BN] A44d L	L dorsal prefrontal/inferior frontal area 44
30	[BN] A44d R	R dorsal prefrontal/inferior frontal area 44
31	[BN] IFS L	L inferior frontal sulcus
32	[BN] IFS R	R inferior frontal sulcus
33	[BN] A45c L	L caudal prefrontal area 45
34	[BN] A45c R	R caudal prefrontal area 45
35	[BN] A45r L	L rostral prefrontal area 45
36	[BN] A45r R	R rostral prefrontal area 45
37	[BN] A44op L	L inferior frontal area 44 (opercular part)
38	[BN] A44op R	R inferior frontal area 44 (opercular part)
39	[BN] A44v L	L inferior frontal area 44 (ventral part)
40	[BN] A44v R	R inferior frontal area 44 (ventral part)
41	[BN] A14m L	L medial ventromedial prefrontal area 14
42	[BN] A14m R	R medial ventromedial prefrontal area 14
43	[BN] A12/47o L	L frontal area 12/opercular area 47
44	[BN] A12/47o R	R frontal area 12/opercular area 47
45	[BN] A11l L	L lateral orbitofrontal area 11
46	[BN] A11l R	R lateral orbitofrontal area 11
47	[BN] A11m L	L medial orbitofrontal area 11
48	[BN] A11m R	R medial orbitofrontal area 11
49	[BN] A13 L	L orbitofrontal area 13
50	[BN] A13 R	R orbitofrontal area 13
51	[BN] A12/47l L	L frontal area 12/lateral area 47
52	[BN] A12/47l R	R frontal area 12/lateral area 47
53	[BN] A4hf L	L precentral area 4 (head/face)
54	[BN] A4hf R	R precentral area 4 (head/face)
55	[BN] A6cdl L	L caudal dorsolateral area 6
56	[BN] A6cdl R	R caudal dorsolateral area 6
57	[BN] A4ul L	L precentral area 4 (upper limb)
58	[BN] A4ul R	R precentral area 4 (upper limb)
59	[BN] A4t L	L precentral area 4 (trunk)
60	[BN] A4t R	R precentral area 4 (trunk)
61	[BN] A4tl L	L precentral area 4 (tongue/larynx)
